N,FindUnsorted_sec,FindSorted_sec
1000,7.33e-08,7.338e-08
1500,7.29e-08,7.47867e-08
2000,7.146e-08,7.166e-08
2500,7.1232e-08,7.2636e-08
3000,7.21267e-08,7.30333e-08
3500,7.26629e-08,7.196e-08
4000,8.30575e-08,6.939e-08
4500,7.014e-08,7.112e-08
5000,7.0914e-08,7.1826e-08
5500,7.31164e-08,7.11218e-08
6000,7.02483e-08,7.1295e-08
6500,7.42446e-08,7.45662e-08
7000,7.63143e-08,7.25171e-08
7500,7.28173e-08,7.13733e-08
8000,7.28613e-08,7.27375e-08
8500,7.21235e-08,7.25318e-08
9000,7.1e-08,7.10778e-08
9500,8.522e-08,7.70411e-08
10000,7.3078e-08,7.1859e-08
10500,7.40943e-08,7.40733e-08
11000,7.29191e-08,7.25545e-08
11500,7.1373e-08,7.21609e-08
12000,7.71517e-08,7.26383e-08
12500,9.24608e-08,7.41008e-08
13000,8.32723e-08,7.35138e-08
13500,8.06319e-08,8.01007e-08
14000,7.72193e-08,7.164e-08
14500,7.56628e-08,7.33062e-08
15000,7.66933e-08,7.08773e-08
15500,7.60206e-08,7.18877e-08
16000,7.53175e-08,7.19075e-08
16500,7.47782e-08,7.6403e-08
17000,7.78829e-08,7.28918e-08
17500,7.88857e-08,7.1384e-08
18000,7.59672e-08,6.87722e-08
18500,7.27659e-08,7.0473e-08
19000,7.46074e-08,7.14221e-08
19500,7.38985e-08,7.00092e-08
20000,7.363e-08,6.89375e-08
20500,7.21024e-08,7.02059e-08
21000,7.08729e-08,6.98576e-08
21500,7.16884e-08,6.9473e-08
22000,7.27332e-08,7.04964e-08
22500,7.14551e-08,6.92036e-08
23000,7.499e-08,6.78957e-08
23500,7.29336e-08,7.19119e-08
24000,7.29604e-08,7.00225e-08
24500,7.11376e-08,6.83657e-08
25000,7.89604e-08,7.29048e-08
25500,7.64522e-08,7.44757e-08
26000,7.912e-08,7.30054e-08
26500,8.05396e-08,7.46966e-08
27000,7.78378e-08,7.44796e-08
27500,7.82833e-08,7.4024e-08
28000,7.75996e-08,7.56657e-08
28500,7.49091e-08,7.32881e-08
29000,7.77934e-08,7.44038e-08
29500,7.50244e-08,7.3241e-08
30000,7.5694e-08,7.20433e-08
