N,InsertUnsorted_sec,InsertSorted_sec
1000,3.0951e-07,3.0284e-07
1500,3.2544e-07,2.93233e-07
2000,4.41635e-07,4.0635e-07
2500,3.50004e-07,3.66368e-07
3000,3.6905e-07,3.3629e-07
3500,4.42237e-07,4.71683e-07
4000,4.21833e-07,4.31788e-07
4500,3.85378e-07,4.02398e-07
5000,3.63654e-07,3.89422e-07
5500,3.5326e-07,3.63869e-07
6000,3.38125e-07,3.45572e-07
6500,4.98652e-07,5.13835e-07
7000,4.42837e-07,4.79316e-07
7500,4.38051e-07,4.61237e-07
8000,4.21926e-07,4.44771e-07
8500,4.09504e-07,4.28806e-07
9000,4.13794e-07,4.38802e-07
9500,3.80081e-07,4.08673e-07
10000,3.79356e-07,3.89199e-07
10500,3.76692e-07,3.79105e-07
11000,3.67778e-07,4.03529e-07
11500,3.60586e-07,3.5651e-07
12000,3.58705e-07,3.64885e-07
12500,4.96507e-07,5.1472e-07
13000,4.90412e-07,5.14352e-07
13500,4.7045e-07,4.94e-07
14000,4.57519e-07,4.76008e-07
14500,4.50252e-07,4.72833e-07
15000,4.44707e-07,4.62057e-07
15500,4.41222e-07,4.65553e-07
16000,4.32892e-07,4.49379e-07
16500,4.22268e-07,4.24339e-07
17000,4.1303e-07,4.27376e-07
17500,4.11802e-07,4.17534e-07
18000,4.19233e-07,4.2295e-07
18500,4.00599e-07,4.03625e-07
19000,3.88577e-07,4.25632e-07
19500,3.86938e-07,4.01868e-07
20000,3.74245e-07,3.82046e-07
20500,3.73273e-07,3.79026e-07
21000,3.65607e-07,3.69906e-07
21500,3.62694e-07,3.71492e-07
22000,3.67271e-07,3.62194e-07
22500,3.59834e-07,3.57456e-07
23000,3.52877e-07,3.51146e-07
23500,3.48073e-07,3.5268e-07
24000,3.44746e-07,3.41517e-07
24500,3.4195e-07,3.31113e-07
25000,4.92226e-07,4.94571e-07
25500,4.85676e-07,4.98916e-07
26000,4.93621e-07,5.2896e-07
26500,4.83916e-07,4.99323e-07
27000,4.70189e-07,4.85427e-07
27500,4.77734e-07,4.74523e-07
28000,4.61624e-07,4.61768e-07
28500,4.52831e-07,4.5459e-07
29000,4.56146e-07,4.61028e-07
29500,4.49288e-07,4.58781e-07
30000,4.42689e-07,4.4158e-07
